Name,Rating,Reviews,Type,Salaries,Interviews,Jobs,Benefits
Macleods Pharmaceuticals,3.6,3.3k,Mumbai +115 other locations,14.8k,205,19,385
Aakash Educational Services,3.4,3.3k,Education & Training | New Delhi +225 other locations,12.2k,312,66,228
HDFC Ergo General Insurance,3.9,3.3k,Insurance | Mumbai +281 other locations,11.6k,153,--,291
Tata AIA Life Insurance,4.0,3.2k,Insurance | Mumbai +372 other locations,12.8k,171,588,316
Publicis Sapient,3.5,3.2k,IT Services & Consulting | Bangalore / Bengaluru +37 other locations,26.9k,617,163,431
Utkarsh Small Finance Bank,3.8,3.2k,Banking | Varanasi +341 other locations,9.9k,214,33,279
DCB Bank,3.7,3.2k,Banking | Mumbai +321 other locations,9.5k,182,10,257
Cummins,4.3,3.2k,Industrial Machinery | Pune +100 other locations,15.2k,231,115,488
VE Commercial Vehicles,3.9,3.2k,Automobile | Indore +140 other locations,13k,214,5,381
PVR Inox,4.0,3.1k,Media & Entertainment | New Delhi +143 other locations,9.5k,166,22,256
Viatris,4.2,3.2k,Pharma | Hyderabad / Secunderabad +75 other locations,14k,137,5,533
Godrej & Boyce Manufacturing,3.9,3.1k,Consumer Electronics & Appliances | Mumbai +140 other locations,15.1k,177,22,434
Samvardhana Motherson Group,3.7,3.1k,Auto Components | Noida +83 other locations,12.6k,214,5,425
Carelon Global Solutions,3.9,3.1k,Software Product | Bangalore / Bengaluru +19 other locations,24.8k,364,17,64
Subros,3.8,3.1k,Auto Components | Noida +73 other locations,12.2k,167,3,436
Lenskart,3.2,3.1k,Internet | New Delhi +197 other locations,10.9k,308,187,223
Berger Paints,3.7,3.1k,Chemicals | Kolkata +289 other locations,8.9k,261,65,293
Pidilite Industries,4.3,3.1k,Chemicals | Mumbai +268 other locations,10.1k,203,5,378
Automatic Data Processing (ADP),4.0,3.1k,Software Product | Hyderabad / Secunderabad +35 other locations,20.3k,236,45,489
American Express,4.2,3.1k,Financial Services | Gurgaon / Gurugram +42 other locations,21.3k,361,220,465
Alembic Pharmaceuticals,4.0,3.1k,Pharma | Vadodara +167 other locations,14.1k,203,52,408
Bank of America,4.2,3.1k,Banking | Gurgaon / Gurugram +31 other locations,25.3k,237,88,448
Abbott,4.1,3.1k,Pharma | Mumbai +189 other locations,11k,149,296,394
Sodexo,4.1,3.1k,Facility Management Services | Mumbai +145 other locations,9.7k,162,99,391
Jindal Steel and Power,3.9,3.1k,Iron & Steel | Angul +146 other locations,14.2k,315,15,349
Hindalco Industries,4.2,3k,Metals & Mining | Sambalpur +108 other locations,10.7k,217,46,359
